Employee_ID,Employee_Name,Department,Experience_Years,Team,Location
EMP001,Zachary Mclaughlin,Order Management,10.5,Team A,United Kingdom
EMP002,Patricia Johnson,Procurement,7.0,Team D,Australia
EMP003,Daniel Gibson,Compliance,4.1,Team B,Singapore
EMP004,Paula Riley,Data Operations,6.8,Team C,Australia
EMP005,Taylor Robbins,Order Management,2.7,Team B,United States
EMP006,Kristina Campos,Customer Service,3.1,Team C,United States
EMP007,Ryan Carter,Procurement,8.4,Team D,United States
EMP008,Carly Robinson,Order Management,4.5,Team C,United States
EMP009,Krista Campbell,HR Operations,7.1,Team D,Singapore
EMP010,Pedro Turner,Data Operations,11.5,Team B,United States
EMP011,Kathy Miller,Finance Operations,3.8,Team A,United States
EMP012,Randy Richards,Order Management,8.0,Team D,United Kingdom
EMP013,Anthony Woods,Procurement,10.0,Team C,Australia
EMP014,Logan Robinson,Customer Service,2.1,Team B,United Kingdom
EMP015,Kaitlyn Tanner,Finance Operations,8.2,Team B,United Kingdom
EMP016,Elaine Williams,Finance Operations,1.7,Team C,Singapore
EMP017,Henry Ritter,HR Operations,8.3,Team B,India
EMP018,Heather Robinson,IT Support,5.2,Team D,Singapore
EMP019,Sherry Kramer,Procurement,9.2,Team C,United States
EMP020,Erin Lloyd,Customer Service,7.9,Team A,Australia
EMP021,Katie Harris,Procurement,6.7,Team A,United Kingdom
EMP022,Matthew Duran,Compliance,10.6,Team B,India
EMP023,Heather Stone,Compliance,9.6,Team B,United States
EMP024,Alison Mendoza DDS,Finance Operations,0.6,Team A,United States
EMP025,Richard Pineda,Customer Service,5.7,Team D,United Kingdom
EMP026,Vicki Torres,Order Management,3.6,Team A,United States
EMP027,Billy Nelson,IT Support,8.9,Team C,United Kingdom
EMP028,Laura Smith,Finance Operations,9.0,Team C,Australia
EMP029,Alyssa Hopkins,Procurement,2.5,Team D,Singapore
EMP030,Willie Jenkins,Data Operations,1.5,Team A,United Kingdom
EMP031,Michael Thomas,IT Support,6.0,Team B,India
EMP032,Rachel Martin,Customer Service,4.9,Team D,United States
EMP033,Brittany Peterson,Data Operations,4.0,Team A,United States
EMP034,Michael Sandoval,Data Operations,8.5,Team A,India
EMP035,Alyssa Chandler,Order Management,4.0,Team D,Australia
EMP036,Stephanie Chaney,Customer Service,8.4,Team C,United States
EMP037,Ms. Tina Carey,Procurement,3.0,Team B,Singapore
EMP038,Melissa Williams,IT Support,5.7,Team C,Singapore
EMP039,Michael Martinez,Order Management,9.2,Team B,United Kingdom
EMP040,Robert Smith,HR Operations,6.5,Team C,India
EMP041,Jeremy Miller,HR Operations,1.2,Team B,Australia
EMP042,Jacqueline Rogers,IT Support,2.4,Team D,India
EMP043,Steven Powers,Procurement,8.7,Team D,India
EMP044,Matthew Shepherd,Order Management,9.8,Team D,United Kingdom
EMP045,Edward Townsend,Compliance,5.8,Team A,Australia
EMP046,Olivia Harris,Order Management,8.2,Team C,India
EMP047,Jessica Walker,Compliance,3.4,Team A,United Kingdom
EMP048,April Church,HR Operations,1.0,Team C,India
EMP049,Mrs. Patty Larsen,Finance Operations,11.2,Team A,Singapore
EMP050,Tara Thomas,Finance Operations,3.8,Team B,United Kingdom
EMP051,Clifford Good,Compliance,4.8,Team D,Singapore
EMP052,Laura Willis,Compliance,4.8,Team B,United States
EMP053,Sarah Taylor,HR Operations,2.6,Team D,Australia
EMP054,Melanie Hunt,IT Support,8.9,Team B,India
EMP055,George Noble,Finance Operations,11.8,Team D,Australia
EMP056,Leslie Smith,Compliance,6.6,Team B,United Kingdom
EMP057,Geoffrey Foster,Order Management,4.5,Team C,United Kingdom
EMP058,Michael Mullen,HR Operations,0.9,Team D,Australia
EMP059,Michael Patel,Finance Operations,3.3,Team A,India
